ActualSpendingCategory1, amount, AllowedSpending Category2, amount, difference, dailyAllowedAmount, days to go
AUTO FINANCE,-1767.52001953125,AUTO FINANCE,1423.9399999999998,-343.5800195312502,29.06,-11.823125241956303
HOUSEHOLD,-1631.260009765625,HOUSEHOLD,488.04,-1143.220009765625,9.96,-114.7811254784764
GAS,-1326.3199462890625,GAS,1725.78,399.4600537109375,35.22,11.34185274590964
FOOD/GROCERIES,-839.6199951171875,FOOD/GROCERIES,834.9599999999999,-4.659995117187577,17.04,-0.27347389185373105
DOCTOR/HOSPITAL,-599.4400024414062,DOCTOR/HOSPITAL,1065.26,465.81999755859374,21.74,21.426862813182787
AUTOINSURANCE,-325.6600036621094,AUTOINSURANCE,262.15,-63.5100036621094,5.35,-11.871028721889608
GIFTS/DONATIONS,-214.29000854492188,GIFTS/DONATIONS,35.28,-179.01000854492187,0.72,-248.62501186794705
INTERNET SERVICE,-210.92999267578125,INTERNET SERVICE,141.61,-69.31999267578124,2.89,-23.98615663521842
MEDICAL/DENTAL/VISION,-185.0,MEDICAL/DENTAL/VISION,297.92,112.92000000000002,6.08,18.572368421052634
UTILITIES : INTERNET,-174.0,UTILITIES : INTERNET,280.28,106.27999999999997,5.72,18.580419580419576
UTILITIES : ELECTRICITY,-135.52999877929688,UTILITIES : ELECTRICITY,111.71999999999998,-23.80999877929689,2.28,-10.44298192074425
DININGOUT,-114.91999816894531,DININGOUT,64.68,-50.239998168945306,1.32,-38.060604673443414
TRAVEL,-85.08999633789062,TRAVEL,0.0,-85.08999633789062,0.0,-Infinity
PETCARE,-83.94000244140625,PETCARE,123.48,39.539997558593754,2.52,15.690475221664189
LEGAL/DEBT,-80.0,LEGAL/DEBT,64.68,-15.319999999999993,1.32,-11.6060606060606
VACATION/TRAVEL,-75.0,VACATION/TRAVEL,32.34,-42.66,0.66,-64.63636363636363
UTILITIES,-66.69999694824219,UTILITIES,0.0,-66.69999694824219,0.0,-Infinity
CHARITABLECONTRIBUTIONS,-48.93000030517578,CHARITABLECONTRIBUTIONS,0.0,-48.93000030517578,0.0,-Infinity
HEALTHINSURANCE,-38.20000076293945,HEALTHINSURANCE,30.87,-7.330000762939452,0.63,-11.634921845935638
CASH,-36.25,CASH,64.68,28.430000000000007,1.32,21.537878787878793
NEWSPAPER/MAGAZINES,-29.989999771118164,NEWSPAPER/MAGAZINES,6.37,-23.619999771118163,0.13,-181.69230593167816
BANK/CARDFEES,-29.0,BANK/CARDFEES,0.0,-29.0,0.0,-Infinity
MEDICAL/DENTAL/VISION INSURANCE,-27.68000030517578,MEDICAL/DENTAL/VISION INSURANCE,22.540000000000003,-5.1400003051757785,0.46,-11.173913706903866
ENTERTAINMENT,-2.990000009536743,ENTERTAINMENT,0.0,-2.990000009536743,0.0,-Infinity
BOOKS/EDUCATION,89.95999908447266,BOOKS/EDUCATION,0.0,-89.95999908447266,0.0,-Infinity
AUTOMAINTENANCE,336.65997314453125,AUTOMAINTENANCE,40.18,-296.47997314453124,0.82,-361.5609428591845
