keyWord,CATEGORY
Amazon.com,HOUSEHOLD
Seven,GAS
7-ELEVEN,FOOD/GROCERIES
A&A,TRANSPORTATION/AUTO
ALBERTSONS,FOOD/GROCERIES
AMZN,OTHER
Amzn,OTHER
APPLE,INTERNET SERVICE
ATTRC,FOOD/GROCERIES
Audible,BOOKS/EDUCATION
AUTOZONE,AUTOMAINTENANCE
BARCLAYCARD,PAYMENT
BestBuy,COMPUTERSOFTWARE/HARDWARE
billWA,TOOLS
BLUEMOON,DININGOUT
BROWNELLS,LESSONS/SPORTS
BUTCHERBOX,FOOD/GROCERIES
CARDCCPYMT,PAYMENT
CareerBuilder,INTERNET SERVICE
CHEVRON,GAS
CHEWY,PETCARE
CHINAKING,DININGOUT
CITUT,VACATION/TRAVEL
CRDEPAY,PAYMENT
CREDITCARD,PAYMENT
DEERFIELD,PAYMENT
DINE,DININGOUT
DIVIDEND,INCOME
DOLLAR GENERAL,FOOD/GROCERIES
DREAMSPRING,PAYMENT
Dropbox,INTERNET SERVICE
EDWARDJONES,WITHDRAWAL
EXXONMOBIL,GAS
EZPAY,UTILITIES
FAMILYDOLLAR,FOOD/GROCERIES
FANJOY,CLOTHING
FASTRAK,VACATION/TRAVEL
FEDLOANSERVICINGSTDNT,PAYMENT
FILTERBUY,HOUSEHOLD
FOXCORP,NEWSPAPER/MAGAZINES
FRESHROASTED,FOOD/GROCERIES
GAZOS,GAS
GEICO,AUTOINSURANCE
GOLDIES,DININGOUT
GOOGLE,INTERNET SERVICE
google,INTERNET SERVICE
GSUITE_pacific,INTERNET SERVICE
HEALTHFULHOMEALEXETER,HOUSEHOLD
helppay#CA,INTERNET SERVICE
helppay#CA,INTERNET SERVICE
HOME2,VACATION/TRAVEL
HTTPSFILTERBUAL,HOUSEHOLD
HTTPSHEALTHFUIL,HOUSEHOLD
HTTPSSHOPIFY,INTERNET SERVICE
INTEREST,BANK/CARDFEES
Jiffy,AUTOMAINTENANCE
JJS,DININGOUT
