2025-01-01,  Title: Monthly (dollars per Month)
AUTO FINANCE,883.91
AUTOINSURANCE,162.73
AUTOMAINTENANCE,25.00
BANK/CARDFEES,0.00
BOOKS/EDUCATION,0.00
CHARITABLECONTRIBUTIONS,0.00
COMPUTERSOFTWARE/HARDWARE,0.00
DININGOUT,40.00
DOCTOR/HOSPITAL,661.26
FOOD/GROCERIES,518.30
GAS,1071.28
GIFTS/DONATIONS,21.90
HEALTHINSURANCE,19.16
HOUSEHOLD,302.95
INTERNET SERVICE,87.90
MEDICAL/DENTAL/VISION INSURANCE,13.84
MEDICAL/DENTAL/VISION,184.93
NEWSPAPER/MAGAZINES,3.95
PETCARE,76.65
TITHE,0.00
TRAVEL,0.00
UTILITIES : ELECTRICITY,69.35
UTILITIES : INTERNET,173.98
VACATION/TRAVEL,20.00
CASH,40.00
LEGAL/DEBT,40.00
