Keyword or String,Mandatory
Seven,Gas
CarMax,Transportation/Auto
DREAMSPING,Payment
Dropbox,Service
GEICO,AutoInsurance
TMOBILE,Telephone
Spectrum,Internet
VSP,HealthInsurance
XXSOC,Income
ACROPRO,Service
ALTEON,Medical/Dental/Vision
BRANDS-REG,Maintenance
CARMAX,Transportation/Auto
CULPEPPER,Medical/Dental/Vision
DROPBOX,Service
GHLLC,Payment
HEALTHPRIMARY,Medical/Dental/Vision
HOLROYD,Medical
MSFT,Service
PATIENTCO,Medical
SSA,Income
VSP,Medical/Dental/Vision
BEHAVIORAL,Medical/Dental/Vision
EMERGENCY,Medical/Dental/Vision
PHARMACY,Medical/Dental/Vision
RADIOLOGY,Medical/Dental/Vision
SPECTRUM,Internet
HEALTH,Medical/Dental/Vision
